experiment_name,instance_name,algorithm_name,eta0,seed,T,gamma,u_star,final_utility,mean_utility,final_gap,mean_gap,final_avg_weight_gap,final_time_avg_gap,l1_error_to_w_star,final_w_0,final_w_1,final_w_2,final_w_3,w_star_0,w_star_1,w_star_2,w_star_3
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,900,500,0.02,0.10148558758314846,0.06996257336481865,0.0641059118079504,0.031523014218329815,0.03737967577519806,0.03737625215503554,0.03737967577519804,0.7086344336150413,0.2002196521749208,0.4054631310175582,0.18286131922185211,0.21145589758566877,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_if_ascent,1.0,1000,500,0.02,0.10148558758314846,0.08252953187548029,0.07688503128591877,0.018956055707668173,0.024600556297229688,0.024550947412432744,0.02460055629722972,0.4359042711465738,0.317561260916388,0.4244866035103248,0.1004020372673334,0.15755009830595382,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,100,500,0.02,0.10148558758314846,0.08971114385104945,0.08376526128449734,0.011774443732099016,0.017720326298651126,0.017696456368912206,0.01772032629865111,0.34426595311049574,0.3892463146593054,0.3986207087854463,0.13797964925515613,0.07415332730009203,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,200,500,0.02,0.10148558758314846,0.08973676876792555,0.08313743813445708,0.011748818815222911,0.01834814944869138,0.01833504670844799,0.018348149448691387,0.32051974070111927,0.41188518989928713,0.38785493975015284,0.11294241272790845,0.08731745762265147,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,300,500,0.02,0.10148558758314846,0.08798129209563516,0.0809211604729762,0.013504295487513307,0.020564427110172253,0.02054838756873234,0.02056442711017224,0.38469708629388544,0.38241247772609005,0.38523897912696686,0.1437455721635098,0.08860297098343324,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,400,500,0.02,0.10148558758314846,0.08997060348223351,0.08470798345221915,0.011514984100914949,0.01677760413092931,0.016704286898221676,0.016777604130929293,0.3308479941306257,0.3833856388836655,0.4111903640510213,0.13024989295303377,0.0751741041122794,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,500,500,0.02,0.10148558758314846,0.08850324465290643,0.08209214088807223,0.01298234293024203,0.019393446695076234,0.019369742489929676,0.01939344669507623,0.375224322458935,0.36690877880778194,0.40547905996275024,0.14804685272077145,0.07956530850869643,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,600,500,0.02,0.10148558758314846,0.08691952594631802,0.08111251729092459,0.01456606163683044,0.020373070292223877,0.02028048818828604,0.020373070292223898,0.4189420127399309,0.3642321531804537,0.3862968404495804,0.15893839107765678,0.09053261529230898,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,700,500,0.02,0.10148558758314846,0.08963571311135146,0.08417905069602463,0.011849874471797,0.01730653688712382,0.017263063715214716,0.017306536887123827,0.3312057470771259,0.40960683908261203,0.3847902873788247,0.12270060636369369,0.08290226717486969,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
variance_suite_eta_grid,beta_mixture_4,variance_mirror_ascent,2.0,800,500,0.02,0.10148558758314846,0.0900838268273696,0.08315980216862158,0.011401760755778867,0.018325785414526882,0.018277845805793613,0.01832578541452687,0.33095981519198764,0.3985455801807795,0.3959745122232263,0.13138293495726824,0.07409697263872589,0.4800000000000002,0.4799999999999995,0.02000000000000006,0.020000000000000302
